X,Y,OBJECTID,СТАТУ,ID,ОБЛАС,РАЙОН,Н__ПУН,АДРЕС,КАДАС,ЗАМОВ,КОНТА,Y,X,ПОСИЛ,X_1,Y_1,icon_url
30.6118877010001,50.2711738310001,"49",ГОТОВИЙ,"4686",Київська,Обухівський,смт.Козин,"Столичне шосе, 24 км",Х,"БВ ""Конча-Заспа""",Ігор,"50,27117383106096","30,61188770099746",I:\04 Геологічний\ІВ\ОБМІН\2020\02 ЛЮТИЙ\4686_КОЗИН розрахунок стійкості,30.61188770100,50.27117383110,./0.png
31.9104372200001,49.9814761910001,"50",ГОТОВИЙ,"4694",Київська,Переяслав-Хмельницький,поблизу с.Соснова,Соснова-Ташань О101701,Х,"ТОВ""Д І М""",Замана Ігор,"49,981476190803306","31,910437220238308",I:\04 Геологічний\ІВ\ОБМІН\2020\12 ГРУДЕНЬ\4694_Соснова О101701_(ТОВ ДІМ),31.91043722020,49.98147619080,./0.png
31.7461568830001,50.24429962,"51",ГОТОВИЙ,"4695",Київська,Миронівський,поблизу м.Яготин,Яготин через Засупоївку С102503,Х,"ТОВ""МЕРЕЖА ДОРІГ""",Замана Ігор,"50,24429962035448","31,746156882902664",I:\04 Геологічний\ІВ\ОБМІН\2020\10ЖОВТЕНЬ\4695_Яготин С102503_(ТОВ МЕРЕЖА ДОРІГ),31.74615688290,50.24429962040,./0.png
30.8315540950001,50.5349019400001,"52",ГОТОВИЙ,"4696",Київська,Броварський,поблизу с.Перемога,Перемога-Квітневе С100601,Х,"ТОВ""МЕРЕЖА ДОРІГ""",Замана Ігор,"50,53490193972604","30,831554094843735",I:\04 Геологічний\ІВ\ОБМІН\2020\05 ТРАВЕНЬ\4696 Перемога-Квітневе,30.83155409480,50.53490193970,./0.png
30.3007052300001,50.2645427990001,"53",ГОТОВИЙ,"4697",Київська,Васильківський,поблизу с.Глеваха,Глеваха-Нова Глеваха С100725,Х,"ТОВ""МЕРЕЖА ДОРІГ""",Замана Ігор,"50,26454279857753","30,3007052299674",I:\04 Геологічний\ІВ\ОБМІН\2020\05 ТРАВЕНЬ\4697 Глеваха-Н_Глеваха,30.30070523000,50.26454279860,./0.png
29.9716511000001,49.8688382720001,"54",ГОТОВИЙ,"4698",Київська,Білоцерківський,поблизу с.Сидори,Сидори-Дрозди-Шамраївка О100211,Х,"ТОВ ""ДОРОГИ І МОСТИ""",Замана Ігор,"49,86883827196633","29,97165109977444",I:\04 Геологічний\ІВ\ОБМІН\2020\12 ГРУДЕНЬ\4698 СИДОРИ,29.97165109980,49.86883827200,./0.png
30.3694920670001,49.6266132430001,"55",ГОТОВИЙ,"4699",Київська,Рокитнянський,поблизу с.Острів,Острів-Колесникове С101902,Х,"ТОВ ""ДОРОГИ І МОСТИ""",Замана Ігор,"49,62661324256216","30,369492067172878",I:\04 Геологічний\ІВ\ОБМІН\2020\11 ЛИСТОПАД\4699_Острів С101902_(ТОВ ДОРОГИ І МОСТИ),30.36949206720,49.62661324260,./0.png
30.549732857,49.578788548,"56",ГОТОВИЙ,"4700",Київська,Таращанський,поблизу с.Терешівка,Терешівка-Ольшаниця-Тараща О101913,Х,"ТОВ ""ДОРОГИ І МОСТИ""",Замана Ігор,"49,57878854822362","30,54973285745987",I:\04 Геологічний\ІВ\ОБМІН\2020\05 ТРАВЕНЬ\4700 Телешівка-Тараща,30.54973285750,49.57878854820,./0.png
30.8433699030001,49.6406598900001,"57",ГОТОВИЙ,"4701",Київська,Миронівський,поблизу с.Карапиші,Карапиші-Владиславка О101503,Х,"ТОВ ""ДОРОГИ І МОСТИ""",Замана Ігор,"49,640659890333716","30,843369902989274",I:\04 Геологічний\ІВ\ОБМІН\2020\07 ЛИПЕНЬ\4701_Карапиші О101503_(ТОВ ДОРОГИ І МОСТИ),30.84336990300,49.64065989030,./0.png
29.6798724180001,49.6224766010001,"58",ГОТОВИЙ,"4702",Київська,Сквирський,поблизу с.Сквира,Сквира-Гуменне О102009,Х,"ТОВ ""ДОРОГИ І МОСТИ""",Замана Ігор,"49,622476600775826","29,67987241770041",I:\04 Геологічний\ІВ\ОБМІН\2020\06 ЧЕРВЕНЬ\4702_Сквира-Гуменне,29.67987241770,49.62247660080,./0.png
